Domain
.com
.org
.edu
.gov
.uk
.net
.ca
.de
.jp
.fr
.au
.us
.ru
.ch
.it
.nl
.se
.no
.es
.mil
.gw
.ax
.wf
.yt
.sj
.mobi
.eh
.mh
.bv
.ap
.cat
.kp
.iq
.um
.arpa
.pm
.gb
.cs
.td
.so
.
